Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov
1,Pirátska strana - Slovensko,9358
2,PRINCÍP,1817
3,Progresívne Slovensko,533136
4,SPOLOČNE OBČANIA SLOVENSKA,2401
5,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK a Kresťanská únia a ZA ĽUDÍ",264137
6,Komunistická strana Slovenska,9867
7,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",3486
8,Vlastenecký blok,1262
9,"Modrí, Most - Híd",7935
10,SPRAVODLIVOSŤ,1335
11,Slovenské Hnutie Obrody,1332
12,Sloboda a Solidarita,187645
13,SME RODINA,65673
14,MySlovensko,2786
15,Slovenská národná strana,166995
16,SMER - sociálna demokracia,681017
17,HLAS - sociálna demokracia,436415
18,SZÖVETSÉG - Magyarok. Nemzetiségek. Regiók. | ALIANCIA - Maďari. Národnosti. Regióny,130183
19,SRDCE vlastenci a dôchodcovia - SLOVENSKÁ NÁRODNÁ JEDNOTA,2315
20,SDKÚ - DS - Slovenská demokratická a kresťanská únia - Demokratická strana,771
21,Kotlebovci - Ľudová strana Naše Slovensko,25003
22,Demokrati,87006
23,Kresťanskodemokratické hnutie,202515
24,KARMA,2407
25,REPUBLIKA,141099