Pirátska strana - Slovensko,PRINCÍP,Progresívne Slovensko,SPOLOČNE OBČANIA SLOVENSKA,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK a Kresťanská únia a ZA ĽUDÍ",Komunistická strana Slovenska,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",Vlastenecký blok,"Modrí, Most - Híd",SPRAVODLIVOSŤ,Slovenské Hnutie Obrody,Sloboda a Solidarita,SME RODINA,MySlovensko,Slovenská národná strana,SMER - sociálna demokracia,HLAS - sociálna demokracia,SZÖVETSÉG - Magyarok. Nemzetiségek. Regiók. | ALIANCIA - Maďari. Národnosti. Regióny,SRDCE vlastenci a dôchodcovia - SLOVENSKÁ NÁRODNÁ JEDNOTA,SDKÚ - DS - Slovenská demokratická a kresťanská únia - Demokratická strana,Kotlebovci - Ľudová strana Naše Slovensko,Demokrati,Kresťanskodemokratické hnutie,KARMA,REPUBLIKA
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,42,26,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,33,,16,,,,,,,11,,,10,41,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
,,32,,16,,,,,,,11,,,10,42,27,,,,,,12,,
